latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.355007,70.99706,3005.0,-14400,America/New_York,GMT-4

time,weather_code (wmo code),temperature_2m_mean (°C),apparent_temperature_mean (°C),precipitation_sum (mm),wind_gusts_10m_max (km/h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°)
2000-01-01,3,-11.3,-15.5,0.00,44.6,6.2,191
2000-01-02,3,-8.5,-12.7,0.00,43.9,5.6,199
2000-01-03,3,-7.0,-11.4,0.00,34.9,5.2,194
2000-01-04,3,-4.9,-9.5,0.00,29.5,5.1,188
2000-01-05,3,-7.4,-12.0,0.00,46.1,5.9,189
2000-01-06,73,-8.9,-13.0,8.90,54.0,5.8,192
2000-01-07,75,-7.4,-11.4,17.10,70.2,7.4,188
2000-01-08,73,-13.2,-17.7,5.00,67.0,9.0,205
2000-01-09,3,-17.0,-21.6,0.00,36.7,5.7,197
2000-01-10,2,-16.9,-21.7,0.00,32.4,5.2,191
2000-01-11,0,-15.1,-19.8,0.00,32.4,4.7,190
2000-01-12,0,-14.0,-18.6,0.00,24.5,4.7,191
2000-01-13,0,-18.4,-23.0,0.00,25.9,5.1,193
2000-01-14,0,-19.8,-24.5,0.00,27.7,5.4,189
2000-01-15,0,-16.9,-21.6,0.00,22.3,5.4,186
2000-01-16,3,-15.5,-20.3,0.00,27.0,5.5,185
2000-01-17,73,-15.1,-19.8,2.00,50.0,6.5,183
2000-01-18,73,-14.3,-18.7,5.00,49.7,6.5,185
2000-01-19,3,-14.6,-19.2,0.00,30.2,6.1,184
2000-01-20,73,-12.1,-16.8,3.10,55.4,6.2,184
2000-01-21,3,-10.0,-14.8,0.00,28.4,6.5,181
2000-01-22,73,-11.6,-16.3,1.20,36.7,5.4,182
2000-01-23,73,-13.3,-17.6,5.00,41.8,5.8,183
2000-01-24,3,-13.9,-18.1,0.00,29.5,4.4,185
2000-01-25,3,-14.4,-18.6,0.00,24.5,4.3,175
2000-01-26,0,-14.1,-18.6,0.00,24.5,5.1,183
2000-01-27,1,-12.5,-17.2,0.00,33.5,5.8,186
2000-01-28,73,-11.5,-16.0,0.50,31.0,6.1,182
2000-01-29,73,-8.9,-12.9,12.10,54.4,5.8,185
2000-01-30,73,-8.4,-12.1,12.30,29.9,4.0,188
2000-01-31,73,-10.7,-14.4,3.50,14.0,3.2,184
2000-02-01,2,-13.7,-18.0,0.00,24.8,5.1,184
2000-02-02,71,-14.1,-18.7,0.60,44.3,5.8,186
2000-02-03,71,-14.6,-19.0,1.00,47.2,6.1,186
2000-02-04,1,-14.1,-18.7,0.00,31.0,5.1,185
2000-02-05,1,-11.1,-15.7,0.00,27.0,5.1,186
2000-02-06,3,-12.9,-17.5,0.00,36.7,5.4,186
2000-02-07,3,-11.4,-16.0,0.00,33.5,5.8,186
2000-02-08,71,-12.2,-16.6,0.40,34.9,5.1,182
2000-02-09,71,-14.6,-18.9,1.30,33.8,5.2,194
2000-02-10,2,-17.8,-22.1,0.00,30.2,4.4,199
2000-02-11,1,-16.2,-20.6,0.00,20.2,4.7,184
2000-02-12,3,-14.4,-18.9,0.00,26.6,5.2,185
2000-02-13,3,-13.6,-18.2,0.00,29.9,5.4,183
2000-02-14,73,-11.6,-16.1,2.60,50.0,6.9,183
2000-02-15,73,-12.2,-16.3,5.30,50.0,6.5,188
2000-02-16,3,-14.6,-18.9,0.00,32.0,4.4,188
2000-02-17,0,-13.9,-18.4,0.00,19.8,4.4,189
2000-02-18,0,-15.4,-19.9,0.00,28.8,5.2,189
2000-02-19,2,-17.4,-21.7,0.00,39.2,4.1,209
2000-02-20,1,-20.0,-24.4,0.00,34.9,5.1,183
2000-02-21,0,-13.6,-18.0,0.00,37.4,4.7,170
2000-02-22,0,-11.7,-16.2,0.00,33.8,5.1,181
2000-02-23,0,-11.7,-16.2,0.00,21.2,5.1,184
2000-02-24,0,-12.1,-16.6,0.00,23.8,5.4,183
2000-02-25,3,-12.6,-17.2,0.00,25.9,5.8,180
2000-02-26,71,-11.7,-16.4,0.30,47.5,6.5,182
2000-02-27,73,-13.3,-17.8,0.90,55.4,7.8,185
2000-02-28,71,-12.3,-16.5,0.50,42.5,5.5,192
2000-02-29,73,-15.4,-19.7,2.60,41.0,5.1,214
2000-03-01,0,-14.6,-18.9,0.00,24.8,4.7,175
2000-03-02,3,-13.5,-17.7,0.00,23.8,4.7,177
2000-03-03,3,-11.9,-16.0,0.00,23.0,4.7,177
2000-03-04,71,-11.9,-15.8,0.30,18.0,2.9,184
2000-03-05,71,-13.4,-17.5,0.70,36.4,5.8,181
2000-03-06,3,-12.5,-16.7,0.00,31.0,4.7,188
2000-03-07,3,-11.3,-15.4,0.00,29.2,4.8,190
2000-03-08,3,-9.6,-13.7,0.00,33.1,5.1,190
2000-03-09,3,-8.6,-12.4,0.00,25.6,5.1,179
2000-03-10,71,-7.7,-11.5,0.50,23.4,4.0,174
2000-03-11,73,-9.8,-13.8,2.00,38.9,4.4,189
2000-03-12,3,-9.4,-13.2,0.00,31.0,4.8,194
2000-03-13,73,-8.6,-12.5,1.30,33.1,5.1,178
2000-03-14,73,-7.8,-11.7,2.70,56.9,6.1,177
2000-03-15,73,-7.8,-11.7,9.70,57.2,6.1,184
2000-03-16,73,-14.8,-19.4,5.60,56.5,8.5,196
2000-03-17,3,-14.8,-19.0,0.00,50.4,6.5,190
2000-03-18,3,-14.3,-18.4,0.00,42.1,4.5,205
2000-03-19,1,-14.2,-18.4,0.00,38.9,4.8,203
2000-03-20,0,-13.1,-17.3,0.00,31.0,5.4,181
2000-03-21,0,-8.3,-12.6,0.00,24.5,5.8,181
2000-03-22,0,-7.0,-11.3,0.00,24.5,5.4,183
2000-03-23,3,-6.5,-10.8,0.00,31.7,6.1,181
2000-03-24,73,-2.4,-6.3,1.30,39.2,6.5,182
2000-03-25,73,0.2,-3.4,1.80,59.4,6.5,179
2000-03-26,75,-1.2,-4.3,17.10,49.3,6.5,185
2000-03-27,73,-5.5,-8.8,2.90,37.1,5.2,180
2000-03-28,3,-6.5,-9.9,0.00,23.4,4.0,185
2000-03-29,3,-5.1,-8.5,0.00,19.1,3.3,189
2000-03-30,73,-6.4,-9.8,1.00,31.3,5.1,196
2000-03-31,3,-6.2,-9.9,0.00,34.2,5.1,186
2000-04-01,73,-5.0,-8.6,6.40,45.4,5.4,183
2000-04-02,73,-4.1,-7.5,4.10,38.5,4.4,175
2000-04-03,73,-6.3,-9.6,4.90,19.1,3.0,196
2000-04-04,2,-7.3,-10.8,0.00,22.0,4.7,187
2000-04-05,3,-7.3,-10.8,0.00,27.7,5.1,186
2000-04-06,3,-4.4,-8.1,0.00,27.0,5.1,186
2000-04-07,3,-3.4,-6.8,0.00,28.1,5.1,182
2000-04-08,3,-2.5,-5.8,0.00,29.9,5.4,181
2000-04-09,73,-0.7,-3.8,4.60,54.0,5.6,190
2000-04-10,73,0.7,-2.0,1.70,56.2,5.4,188
2000-04-11,53,2.8,0.2,2.20,43.6,6.1,182
2000-04-12,73,2.0,-0.6,3.10,33.8,5.4,181
2000-04-13,75,-0.8,-3.6,11.20,29.9,4.1,198
2000-04-14,73,-2.3,-5.2,1.40,35.6,4.7,186
2000-04-15,71,-2.9,-6.1,0.00,33.8,5.2,195
2000-04-16,73,-0.7,-3.6,1.60,30.2,4.8,193
2000-04-17,73,-1.3,-4.4,3.50,26.6,5.4,181
2000-04-18,3,0.4,-2.2,0.00,30.6,5.1,189
2000-04-19,3,1.1,-1.3,0.00,26.3,4.7,189
2000-04-20,51,0.7,-1.8,0.10,28.1,4.6,197
2000-04-21,3,0.4,-2.3,0.00,28.4,5.2,224
2000-04-22,3,2.2,-0.1,0.00,25.6,3.3,195
2000-04-23,71,0.3,-2.3,0.70,24.1,4.3,146
2000-04-24,73,0.4,-2.3,4.00,29.5,4.8,198
2000-04-25,73,0.0,-2.8,9.80,33.8,4.5,193
2000-04-26,73,0.2,-2.2,5.00,25.9,3.6,133
2000-04-27,71,-0.8,-3.7,0.50,28.1,4.8,122
2000-04-28,71,-0.7,-3.4,0.60,32.4,5.2,185
2000-04-29,73,-0.4,-3.4,9.30,50.0,6.4,201
2000-04-30,71,0.7,-2.0,2.70,59.4,6.1,189
2000-05-01,75,1.1,-1.9,14.60,84.6,8.0,189
2000-05-02,73,0.8,-1.9,5.10,63.0,5.9,192
2000-05-03,73,1.8,-0.6,0.90,41.0,4.8,187
2000-05-04,73,2.3,-0.3,9.20,77.8,7.1,193
2000-05-05,75,0.0,-2.7,21.50,71.6,4.8,210
2000-05-06,3,1.5,-0.9,0.00,31.7,5.4,196
2000-05-07,51,4.2,1.8,0.30,38.2,5.4,186
2000-05-08,53,3.3,0.7,5.40,72.7,7.1,195
2000-05-09,61,3.7,1.4,17.10,60.5,7.0,191
2000-05-10,73,3.7,1.5,30.50,59.4,5.7,194
2000-05-11,71,1.6,-0.9,0.90,52.2,5.2,210
2000-05-12,1,-0.5,-3.4,0.00,41.8,5.5,208
2000-05-13,71,0.4,-2.2,0.30,29.5,5.1,209
