date_local,PM2.5,O3,CO,NO2,SO2,date,AQI_PM2.5,AQI_O3,AQI_CO,AQI_NO2,AQI_SO2,AQI,AQI_Category,num_pollutants_available
2009-01-01,6.5,0.021375,0.186957,13.0,0.333333,2009-01-01,27.0,20.0,2.0,12.0,0.0,27.0,Good,5
2009-01-02,15.0,0.008792,0.483333,31.363636,4.571429,2009-01-02,57.0,8.0,5.0,30.0,7.0,57.0,Moderate,5
2009-01-03,13.9,0.022235,0.320833,15.458332999999998,3.7875,2009-01-03,55.0,21.0,4.0,15.0,5.0,55.0,Moderate,5
2009-01-04,7.9,0.014833,0.315739,20.208333,3.342857,2009-01-04,33.0,14.0,4.0,19.0,5.0,33.0,Good,5
2009-01-05,12.7,0.0115,0.466667,30.090909000000003,3.114286,2009-01-05,52.0,11.0,5.0,28.0,4.0,52.0,Moderate,5
2009-01-06,12.1,0.01,0.366667,19.0,6.0,2009-01-06,51.0,9.0,4.0,18.0,9.0,51.0,Moderate,5
2009-01-07,9.3,0.012609,0.408696,26.75,2.166667,2009-01-07,39.0,12.0,5.0,25.0,3.0,39.0,Good,5
2009-01-08,10.0,0.016375,0.3,17.083333,2.833333,2009-01-08,42.0,15.0,3.0,16.0,4.0,42.0,Good,5
2009-01-09,5.4,0.020412,0.2625,18.625,1.0375,2009-01-09,23.0,19.0,3.0,18.0,1.0,23.0,Good,5
2009-01-10,7.4,0.015542,0.383333,25.208333,3.2,2009-01-10,31.0,14.0,4.0,24.0,5.0,31.0,Good,5
2009-01-11,9.5,0.015,0.425,24.409091,2.583333,2009-01-11,40.0,14.0,5.0,23.0,4.0,40.0,Good,5
2009-01-12,12.8,0.008824,0.425,31.227273,1.833333,2009-01-12,52.0,8.0,5.0,29.0,3.0,52.0,Moderate,5
2009-01-13,15.8,0.006667,0.535957,40.208333,5.6375,2009-01-13,59.0,6.0,6.0,38.0,8.0,59.0,Moderate,5
2009-01-14,9.3,0.019708,0.3125,25.090909,2.9,2009-01-14,39.0,18.0,4.0,24.0,4.0,39.0,Good,5
2009-01-15,10.6,0.009154,0.313375,24.083333,5.791667,2009-01-15,44.0,8.0,4.0,23.0,8.0,44.0,Good,5
2009-01-16,15.0,0.010083,0.441667,29.625,5.521739,2009-01-16,57.0,9.0,5.0,28.0,8.0,57.0,Moderate,5
2009-01-17,15.5,0.015294,0.382542,23.833333,6.5,2009-01-17,58.0,14.0,4.0,22.0,9.0,58.0,Moderate,5
2009-01-18,24.2,0.002824,0.6475,29.041667,10.5625,2009-01-18,76.0,3.0,7.0,27.0,15.0,76.0,Moderate,5
2009-01-19,24.3,0.005706,0.2375,33.458333,6.9,2009-01-19,77.0,5.0,3.0,32.0,10.0,77.0,Moderate,5
2009-01-20,25.0,0.012667,0.401435,25.9,6.25,2009-01-20,78.0,12.0,5.0,24.0,9.0,78.0,Moderate,5
2009-01-21,13.8,0.015043,0.5,28.333333000000003,4.5833330000000005,2009-01-21,55.0,14.0,6.0,27.0,7.0,55.0,Moderate,5
2009-01-22,18.2,0.015913,0.704348,25.166667,6.8333330000000005,2009-01-22,64.0,15.0,8.0,24.0,10.0,64.0,Moderate,5
2009-01-23,31.4,0.012529,0.561826,33.291667,8.625,2009-01-23,92.0,12.0,6.0,31.0,12.0,92.0,Moderate,5
2009-01-24,11.7,0.021792,0.408333,20.416667,3.791667,2009-01-24,49.0,20.0,5.0,19.0,5.0,49.0,Good,5
2009-01-25,8.2,0.021333,0.286818,19.541667,4.916667,2009-01-25,34.0,20.0,3.0,18.0,7.0,34.0,Good,5
